,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3007093 ,1130229 ,2149146 ,224247 ,230190 ,2075918 ,1155197 ,3642136 ,593452 ,134113 ,534121 ,915589 ,1498139 ,3791750 ,1542863 ,624261 ,74848 ,4829157 ,12986 ,123761 ,817937 ,1489124 ,3286984 ,1480426 ,1882241 ,3382000 
1,1674431 ,128412 ,382059 ,210902 ,19064 ,251566 ,2017660 ,767907 ,307981 ,878745 ,347590 ,488035 ,1069271 ,228096 ,806733 ,178148 ,40575 ,254814 ,0 ,586575 ,373002 ,167274 ,205982 ,175898 ,36561 ,6104600 
2,362874 ,228891 ,236938 ,95619 ,75638 ,755192 ,2450580 ,425283 ,321535 ,164113 ,128560 ,64376 ,592365 ,142300 ,302647 ,862389 ,42945 ,269052 ,0 ,141412 ,92431 ,175806 ,390496 ,84801 ,19278 ,1076300 
29,13332 ,0 ,0 ,0 ,0 ,414167 ,2344057 ,694597 ,0 ,0 ,0 ,0 ,1648631 ,95322 ,1197910 ,0 ,0 ,0 ,0 ,0 ,764313 ,0 ,0 ,0 ,0 ,7550500 
3,14431325 ,1903221 ,1988235 ,4550288 ,79923 ,306913 ,9618916 ,1057391 ,4528717 ,7617892 ,4595233 ,73659 ,781360 ,12898522 ,3592043 ,21280301 ,115853 ,2125572 ,25229 ,7740725 ,557934 ,365203 ,7707664 ,967087 ,231078 ,2497400 
4,5859114 ,2842530 ,1291764 ,2363717 ,145804 ,300206 ,2860620 ,834924 ,808723 ,3675882 ,2070615 ,183915 ,3203035 ,5080983 ,5904017 ,3432992 ,15645 ,1137440 ,5460 ,4710297 ,590858 ,180182 ,2057900 ,1339461 ,11455 ,5428000 
5,762382 ,1721505 ,371401 ,435080 ,3593 ,164878 ,1933589 ,245501 ,241893 ,3416331 ,391501 ,25029 ,581073 ,800935 ,130099 ,258077 ,249124 ,81895 ,0 ,91146 ,330573 ,130074 ,694974 ,451002 ,2540 ,1635800 
6,549939 ,222442 ,502512 ,745897 ,153051 ,278734 ,284973 ,167221 ,2004700 ,742910 ,80221 ,42645 ,106766 ,185587 ,159035 ,118946 ,15665 ,102018 ,4400 ,192925 ,458830 ,342067 ,209985 ,1342833 ,0 ,749400 
7,947993 ,18929 ,206062 ,47768 ,13247 ,42836 ,1271235 ,665265 ,1346414 ,1121494 ,589869 ,32567 ,141959 ,178453 ,724544 ,473587 ,13121 ,146195 ,0 ,75439 ,49172 ,44719 ,9078 ,64907 ,126639 ,2567800 
8,4832050 ,602986 ,354169 ,411370 ,31510 ,158154 ,4200829 ,473256 ,331664 ,2056967 ,555409 ,410619 ,370027 ,437411 ,1688271 ,752920 ,70292 ,269254 ,0 ,824838 ,167374 ,125967 ,371776 ,2383277 ,7941 ,3019400 
9,1876497 ,119726 ,155067 ,256239 ,40195 ,129152 ,611336 ,886722 ,125353 ,392516 ,346518 ,20592 ,300980 ,140859 ,634497 ,190372 ,21149 ,62867 ,0 ,1015155 ,97006 ,37621 ,94967 ,190604 ,6070 ,1811700 
10,2013536 ,1150175 ,117444 ,1007935 ,50607 ,399577 ,1623872 ,201926 ,701970 ,408260 ,1634142 ,25488 ,972522 ,2282133 ,2254277 ,1617785 ,123670 ,281903 ,0 ,273680 ,143043 ,86357 ,564260 ,492505 ,11570 ,3950600 
11,1173258 ,321518 ,2676467 ,272824 ,0 ,26939 ,567512 ,162298 ,26201 ,224711 ,38993 ,247616 ,9246532 ,126885 ,15207781 ,48882 ,380 ,2458549 ,187236 ,1299145 ,26182 ,6479 ,345195 ,889285 ,88270 ,16055500 
12,15605716 ,9159871 ,1168606 ,13586534 ,572469 ,1654387 ,10724738 ,3546239 ,1720230 ,5585636 ,1450268 ,757409 ,17506028 ,13929071 ,12688180 ,8995114 ,224067 ,7538827 ,218487 ,12236976 ,883149 ,1227008 ,6762972 ,11220795 ,1640721 ,25465500 
13,2440230 ,799143 ,288455 ,1149539 ,102354 ,139912 ,2799871 ,396918 ,309363 ,161157 ,1056338 ,78774 ,1998205 ,1992511 ,502382 ,2102425 ,658776 ,4798874 ,11967 ,1602612 ,426833 ,131315 ,1461006 ,228100 ,75553 ,5132200 
14,11649633 ,437896 ,75501 ,431682 ,2360 ,96495 ,9036184 ,337179 ,852368 ,4892407 ,431508 ,0 ,476187 ,2426198 ,1732548 ,8006697 ,8068 ,165493 ,0 ,5484812 ,0 ,5139 ,731450 ,251315 ,174605 ,379300 
15,7130361 ,1501786 ,1803862 ,955804 ,74483 ,566011 ,6204888 ,2920877 ,630610 ,2699705 ,1370016 ,167029 ,1544935 ,1691403 ,3481399 ,4025867 ,672277 ,1042691 ,2533 ,2627222 ,1156144 ,1598213 ,1085849 ,860280 ,50359 ,8696800 
16,5005336 ,1787583 ,1394148 ,3014510 ,656384 ,1645947 ,4754565 ,2717346 ,2209866 ,2555583 ,1217856 ,1096107 ,2942252 ,2978244 ,1887257 ,1901634 ,97627 ,1112267 ,194275 ,2803045 ,2560887 ,828478 ,3333638 ,3117832 ,211552 ,5227800 
17,26296206 ,2462857 ,246233 ,14984731 ,407676 ,552142 ,4267502 ,2821030 ,3536505 ,2817464 ,1191609 ,8269202 ,83029953 ,1999646 ,5589887 ,1360214 ,55088 ,4271925 ,8194 ,20495016 ,4256203 ,1125838 ,1904060 ,2504723 ,4180 ,15858500 
18,6250555 ,1159438 ,176417 ,2314655 ,317113 ,230798 ,3447873 ,298886 ,970874 ,587181 ,2827152 ,207497 ,3341608 ,1161797 ,5227581 ,5258411 ,73016 ,666548 ,67336 ,11441142 ,2308252 ,1418194 ,665736 ,1332612 ,3207 ,4571300 
19,7714587 ,2672945 ,471451 ,4234089 ,57948 ,780622 ,4616447 ,3714361 ,1069343 ,1608892 ,4585547 ,960483 ,3417085 ,6219329 ,3621538 ,2304864 ,258406 ,6519414 ,49673 ,7821268 ,919316 ,277890 ,1080921 ,2903485 ,82949 ,9684200 
20,17078082 ,3051493 ,1154177 ,4148095 ,131639 ,827923 ,8934712 ,4324996 ,1574420 ,3509061 ,1738084 ,870655 ,3770686 ,7524467 ,6785764 ,6201734 ,828358 ,3774817 ,16266 ,7899712 ,3031583 ,472281 ,5889676 ,3051446 ,149523 ,24556100 
21,9554594 ,3644583 ,397564 ,5491026 ,55774 ,711440 ,2073796 ,3912392 ,570157 ,1003349 ,567809 ,429580 ,2446382 ,4057410 ,376023 ,2939748 ,341885 ,3304607 ,0 ,5818084 ,898884 ,119535 ,2829334 ,1674258 ,182531 ,10999600 
22,7142944 ,4806233 ,745613 ,2003006 ,97863 ,858746 ,12201769 ,6855139 ,356455 ,863444 ,2441907 ,644038 ,12801632 ,1063990 ,5902229 ,2058262 ,611570 ,1293481 ,11632 ,4825343 ,6800650 ,310548 ,7800924 ,2621287 ,94263 ,42968200 
23,2194613 ,6198699 ,132868 ,2923596 ,90162 ,161660 ,554152 ,276101 ,66732 ,94413 ,1020901 ,504205 ,3465133 ,4779128 ,1678644 ,56356 ,435556 ,9814700 ,5007 ,3761019 ,839081 ,68122 ,387215 ,2879872 ,5588179 ,7615100 
24,22762024 ,13981415 ,560086 ,16037602 ,531019 ,4868385 ,10181763 ,16448219 ,5286131 ,2995912 ,2374046 ,345347 ,6602424 ,12670178 ,14185855 ,4991988 ,471564 ,9886360 ,66890 ,20186448 ,8949395 ,849969 ,2719712 ,10794373 ,92472 ,21228000 
25,96024492 ,3766926 ,122292 ,4603022 ,64086 ,1573370 ,7208937 ,4427792 ,372696 ,2114078 ,1484015 ,138444 ,19385889 ,4594547 ,8635925 ,875578 ,83934 ,2506963 ,58384 ,16998724 ,970907 ,160936 ,623126 ,2625899 ,30237 ,57453800 
26,3173838 ,3837139 ,35639 ,1923507 ,68125 ,255208 ,2467697 ,308060 ,109333 ,407004 ,92085 ,11967 ,2266903 ,3555080 ,1694974 ,119322 ,177340 ,1422854 ,0 ,1053120 ,363072 ,65054 ,1159976 ,2724614 ,52734 ,2986700 
27,58188 ,1576793 ,188825 ,44659 ,95924 ,2686 ,198383 ,158605 ,78367 ,145055 ,658697 ,30544 ,3685 ,47629 ,484230 ,355823 ,190167 ,60097 ,0 ,63456 ,76073 ,8000 ,33064 ,249466 ,198001 ,533900 
